customer_id,age,gender,location,time_zone,preferred_contact_method,last_engagement_time,avg_engagement_rate,segment,last_purchase,message_type,sent_time,opened,clicked,purchased,push_app_best_hour,email_app_best_hour,app_most_active_time,event_hour,event_name,category,number_of_users
CUST1014,46,Female,Florida,EST,Email,2024-07-18 16:05:47,0.45,First-Time Buyer,2024-08-07 10:33:01,Transactional,2024-09-04 08:05:39,1,0,0,12,2,19,22,Product Viewed,Smartphones,404
CUST1015,47,Male,California,EST,Email,2024-09-11 16:01:15,0.9,High-Value,2024-08-08 12:34:06,Promotional,2024-08-21 17:12:47,1,0,0,4,18,7,23,Product Viewed,Smartphones,263
CUST1016,36,Male,Illinois,CST,Push,2024-08-11 09:37:45,0.42,Frequent Buyer,2024-08-03 15:45:24,Promotional,2024-08-19 14:36:59,0,0,0,10,10,3,9,Product Viewed,Smartphones,378
CUST1017,23,Other,Illinois,MST,Push,2024-08-24 22:51:19,0.29,Frequent Buyer,2024-09-14 21:51:36,Promotional,2024-08-17 12:01:33,0,0,0,19,19,11,9,Product Viewed,Smartphones,258
CUST1018,28,Other,New York,CST,Push,2024-09-04 13:57:46,0.8,At-Risk,2024-08-12 14:52:16,Informational,2024-09-23 04:27:23,1,1,0,23,23,6,19,Product Viewed,Smartphones,471
CUST1019,60,Female,Florida,EST,Push,2024-09-16 13:18:52,0.28,First-Time Buyer,2024-08-01 17:40:28,Informational,2024-09-24 06:55:02,0,0,0,17,17,14,18,Product Viewed,Smartphones,431
CUST1020,41,Male,Illinois,PST,Push,2024-08-05 20:03:32,0.26,At-Risk,,Promotional,2024-07-14 06:25:30,1,1,1,8,8,21,12,Product Viewed,Smartphones,169
CUST1021,24,Other,Texas,PST,Email,2024-08-16 05:26:59,0.24,High-Value,2024-09-11 01:42:58,Informational,2024-07-22 13:24:48,1,1,1,13,17,3,13,Product Viewed,Smartphones,485
CUST1022,34,Other,Texas,EST,Push,2024-09-25 04:54:38,0.23,At-Risk,2024-08-28 01:25:47,Promotional,2024-08-21 11:48:58,0,0,0,17,17,15,20,Product Viewed,Smartphones,496
CUST1023,63,Male,Florida,PST,Email,2024-09-26 23:12:04,0.18,At-Risk,,Transactional,2024-09-06 09:25:58,0,0,0,23,18,5,12,Product Viewed,Smartphones,53
CUST1024,39,Other,Florida,PST,Push,2024-08-16 11:15:17,0.16,Loyal Customer,2024-07-27 11:36:04,Informational,2024-08-04 02:22:32,0,0,0,0,0,14,13,Product Viewed,Smartphones,224
CUST1025,32,Male,Florida,MST,Push,2024-07-31 19:30:11,0.55,Frequent Buyer,2024-07-08 09:54:47,Transactional,2024-08-13 18:35:00,0,0,0,7,7,23,14,Product Viewed,Smartphones,233
CUST1026,65,Female,California,EST,Email,2024-07-22 10:26:40,0.37,High-Value,,Transactional,2024-08-26 18:24:07,0,0,0,17,9,14,1,Product Viewed,Smartphones,458
CUST1027,59,Male,California,MST,Push,2024-07-27 19:14:43,0.16,Frequent Buyer,,Promotional,2024-07-28 04:15:47,0,0,0,3,3,23,17,Product Viewed,Smartphones,325
CUST1028,39,Other,New York,MST,Push,2024-08-21 14:28:26,0.68,Frequent Buyer,,Promotional,2024-07-15 07:02:39,0,0,0,16,16,8,19,Product Viewed,Smartphones,147
CUST1029,37,Female,California,MST,Push,2024-08-04 07:12:48,0.43,First-Time Buyer,2024-08-09 01:59:57,Informational,2024-07-11 08:55:59,0,0,0,13,13,13,22,Product Viewed,Smartphones,237
CUST1030,56,Female,Florida,CST,Push,2024-09-28 10:06:25,0.44,Frequent Buyer,2024-08-03 21:42:44,Promotional,2024-08-23 11:19:53,1,0,0,21,21,15,19,Product Viewed,Smartphones,87
CUST1031,18,Other,Illinois,EST,Email,2024-07-24 00:37:48,0.8,High-Value,2024-09-22 00:45:20,Informational,2024-09-25 12:05:19,0,0,0,20,21,11,23,Product Viewed,Smartphones,139
CUST1032,36,Other,Texas,CST,Push,2024-08-11 16:36:15,0.87,Loyal Customer,2024-08-31 23:03:51,Promotional,2024-09-29 08:39:40,0,0,0,20,20,2,23,Product Viewed,Smartphones,326
CUST1033,33,Male,New York,EST,Email,2024-09-22 11:55:41,0.5,Frequent Buyer,,Informational,2024-08-26 12:06:33,1,1,1,13,18,20,22,Product Viewed,Smartphones,487
CUST1034,33,Other,California,EST,Email,2024-09-27 04:06:22,0.32,Frequent Buyer,,Informational,2024-09-21 11:22:07,1,1,1,11,19,22,14,Product Viewed,Smartphones,249
CUST1035,43,Male,California,PST,Push,2024-08-17 21:22:23,0.38,First-Time Buyer,2024-09-21 04:26:59,Transactional,2024-08-08 05:13:37,1,1,0,18,18,20,8,Product Viewed,Smartphones,83
CUST1036,54,Female,New York,EST,Push,2024-09-24 11:53:58,0.3,At-Risk,2024-07-07 08:53:53,Promotional,2024-09-07 20:34:23,0,0,0,7,7,23,18,Product Viewed,Smartphones,389
CUST1037,31,Male,Illinois,PST,Email,2024-09-18 07:44:46,0.42,High-Value,,Transactional,2024-08-16 10:08:32,1,0,0,12,1,2,23,Product Viewed,Smartphones,427
CUST1038,22,Other,New York,MST,Email,2024-08-21 12:06:04,0.89,Loyal Customer,2024-08-24 20:49:19,Promotional,2024-09-15 15:01:13,0,0,0,21,11,4,0,Product Viewed,Smartphones,333
CUST1039,64,Female,Texas,CST,Push,2024-07-22 11:42:31,0.55,First-Time Buyer,,Transactional,2024-07-17 20:07:50,0,0,0,17,17,19,9,Product Viewed,Smartphones,91
CUST1040,33,Male,Illinois,EST,Email,2024-08-14 18:57:46,0.42,High-Value,2024-09-03 16:02:23,Promotional,2024-07-23 15:48:21,0,0,0,3,10,7,12,Product Viewed,Smartphones,423
CUST1041,42,Male,Florida,CST,Email,2024-08-18 04:32:45,0.31,Loyal Customer,2024-07-12 07:29:17,Transactional,2024-09-21 22:21:22,1,1,0,18,14,21,12,Product Viewed,Smartphones,404
CUST1042,40,Female,Florida,PST,Push,2024-09-16 14:32:41,0.63,First-Time Buyer,2024-09-15 11:07:51,Transactional,2024-09-17 20:08:42,1,1,0,19,19,17,9,Product Viewed,Smartphones,66
CUST1043,58,Male,Illinois,MST,Email,2024-07-06 23:45:44,0.44,First-Time Buyer,2024-08-29 03:10:54,Promotional,2024-07-06 07:54:26,0,0,0,20,10,10,22,Product Viewed,Smartphones,496
CUST1044,23,Other,New York,EST,Email,2024-07-09 01:21:33,0.4,Loyal Customer,2024-08-29 05:04:13,Transactional,2024-09-13 15:44:34,1,1,0,4,6,3,6,Product Viewed,Smartphones,420
CUST1045,50,Male,Texas,PST,Email,2024-09-29 16:41:11,0.59,Loyal Customer,2024-08-28 11:21:45,Transactional,2024-07-03 15:48:40,1,0,0,5,19,13,10,Product Viewed,Smartphones,438
CUST1046,61,Female,Texas,EST,Push,2024-07-15 20:36:22,0.86,Frequent Buyer,2024-09-25 11:07:08,Promotional,2024-09-08 16:57:54,1,1,0,6,6,15,4,Product Viewed,Smartphones,321
CUST1047,24,Female,Illinois,CST,Push,2024-09-05 13:04:26,0.25,First-Time Buyer,,Promotional,2024-09-17 20:43:11,0,0,0,3,3,9,13,Product Viewed,Smartphones,312
CUST1048,64,Other,New York,CST,Email,2024-09-08 10:55:57,0.58,Loyal Customer,2024-07-29 05:53:46,Transactional,2024-07-15 13:47:02,1,0,0,12,21,4,7,Product Viewed,Smartphones,242
CUST1049,61,Female,Illinois,MST,Push,2024-09-09 19:18:21,0.14,High-Value,2024-09-06 11:48:00,Informational,2024-09-09 00:29:42,0,0,0,0,0,14,17,Product Viewed,Smartphones,239
CUST1050,43,Female,Texas,MST,Email,2024-08-07 23:20:17,0.3,High-Value,2024-09-18 20:27:51,Informational,2024-08-29 02:06:44,0,0,0,13,9,18,10,Product Viewed,Smartphones,440
CUST1051,57,Female,Florida,CST,Push,2024-09-01 01:38:03,0.45,At-Risk,2024-08-24 14:25:55,Transactional,2024-07-18 04:04:46,0,0,0,23,23,22,19,Product Viewed,Smartphones,205
CUST1052,23,Other,Florida,MST,Push,2024-07-18 11:53:55,0.12,First-Time Buyer,2024-07-27 13:45:15,Transactional,2024-09-02 07:13:50,1,1,1,22,22,14,22,Product Viewed,Smartphones,405
CUST1053,26,Female,Florida,PST,Push,2024-08-16 09:33:55,0.69,At-Risk,,Promotional,2024-07-04 00:50:40,1,0,0,13,13,1,15,Product Viewed,Smartphones,201
CUST1054,56,Other,Illinois,MST,Email,2024-09-28 21:22:01,0.61,Frequent Buyer,2024-08-04 08:52:50,Informational,2024-09-21 10:35:06,0,0,0,20,15,17,13,Product Viewed,Smartphones,262
CUST1055,55,Male,New York,MST,Email,2024-08-05 18:23:23,0.25,High-Value,,Informational,2024-09-22 15:13:36,0,0,0,6,22,3,8,Product Viewed,Smartphones,52
CUST1056,38,Other,Texas,MST,Email,2024-08-10 04:06:02,0.41,Loyal Customer,,Transactional,2024-09-21 20:02:22,0,0,0,2,22,22,8,Product Viewed,Smartphones,182
CUST1057,62,Male,Florida,MST,Email,2024-07-22 11:29:41,0.2,First-Time Buyer,2024-09-26 16:16:02,Transactional,2024-08-13 21:48:01,0,0,0,0,21,21,11,Product Viewed,Smartphones,276
CUST1058,48,Other,Florida,EST,Email,2024-07-22 08:15:26,0.72,First-Time Buyer,2024-07-09 18:18:57,Informational,2024-09-28 05:50:41,0,0,0,4,21,23,13,Product Viewed,Smartphones,133
CUST1059,19,Other,New York,EST,Email,2024-09-07 13:38:04,0.72,Frequent Buyer,2024-07-24 23:14:13,Transactional,2024-08-26 17:12:17,1,0,0,17,22,16,0,Product Viewed,Smartphones,102
CUST1060,55,Other,Texas,CST,Push,2024-08-29 15:17:18,0.71,Frequent Buyer,2024-09-04 13:52:22,Transactional,2024-07-09 19:35:32,1,0,0,4,4,1,6,Product Viewed,Smartphones,261
CUST1061,33,Male,Illinois,PST,Push,2024-07-31 08:10:20,0.29,High-Value,2024-09-14 06:07:17,Informational,2024-07-08 07:45:47,0,0,0,18,18,20,15,Product Viewed,Smartphones,423
CUST1062,21,Other,New York,PST,Push,2024-08-27 04:23:45,0.42,Frequent Buyer,2024-09-07 12:43:35,Transactional,2024-08-31 15:26:35,1,0,0,10,10,13,17,Product Viewed,Smartphones,168
CUST1063,49,Other,California,PST,Push,2024-09-04 18:53:47,0.23,At-Risk,2024-09-30 12:56:23,Promotional,2024-08-15 12:49:25,0,0,0,19,19,19,11,Product Viewed,Smartphones,465
CUST1064,27,Male,Illinois,EST,Email,2024-09-08 03:46:47,0.85,Frequent Buyer,2024-07-29 22:18:24,Promotional,2024-08-27 16:33:02,1,0,0,19,10,6,7,Product Viewed,Smartphones,482
CUST1065,56,Other,Florida,PST,Email,2024-07-19 20:20:20,0.23,At-Risk,2024-08-20 08:27:15,Promotional,2024-08-15 18:29:06,1,0,0,2,4,2,23,Product Viewed,Smartphones,394
CUST1066,63,Other,Illinois,CST,Email,2024-09-11 21:29:08,0.62,First-Time Buyer,,Transactional,2024-07-20 06:53:29,1,0,0,20,21,1,21,Product Viewed,Smartphones,172
CUST1067,58,Male,Florida,MST,Email,2024-08-05 06:52:36,0.37,High-Value,2024-08-28 16:15:23,Transactional,2024-07-09 15:30:03,1,0,0,12,0,4,4,Product Viewed,Smartphones,174
CUST1068,64,Other,California,MST,Email,2024-07-12 18:43:08,0.83,First-Time Buyer,2024-07-27 16:37:51,Transactional,2024-07-29 15:20:19,0,0,0,15,9,5,13,Product Viewed,Smartphones,315
CUST1069,53,Male,Texas,EST,Push,2024-08-30 03:56:27,0.26,Loyal Customer,,Promotional,2024-08-10 14:20:08,1,0,0,15,15,18,11,Product Viewed,Smartphones,352
CUST1070,51,Male,Florida,MST,Email,2024-07-12 07:02:27,0.9,Frequent Buyer,,Promotional,2024-09-03 20:55:17,0,0,0,3,20,8,16,Product Viewed,Smartphones,288
CUST1071,46,Other,Texas,CST,Push,2024-07-02 22:32:45,0.12,Loyal Customer,2024-07-07 00:02:26,Promotional,2024-07-14 08:58:13,0,0,0,0,0,5,12,Product Viewed,Smartphones,56
CUST1072,56,Male,Texas,MST,Push,2024-09-25 18:43:34,0.48,First-Time Buyer,2024-09-23 02:11:09,Promotional,2024-08-12 00:55:51,1,0,0,21,21,15,15,Product Viewed,Smartphones,255
CUST1073,47,Female,Florida,MST,Email,2024-07-29 21:18:28,0.72,At-Risk,2024-07-13 01:45:54,Transactional,2024-07-26 07:14:20,1,1,0,23,11,9,0,Product Viewed,Smartphones,427
CUST1074,39,Female,Illinois,CST,Email,2024-07-10 07:04:32,0.44,Loyal Customer,2024-07-24 09:45:12,Transactional,2024-09-11 00:51:33,1,1,0,12,17,21,15,Product Viewed,Smartphones,92
CUST1075,23,Other,California,MST,Push,2024-09-03 12:25:16,0.64,High-Value,,Informational,2024-07-08 16:12:40,0,0,0,2,2,19,1,Product Viewed,Smartphones,328
CUST1076,51,Other,California,EST,Email,2024-09-05 14:06:59,0.29,First-Time Buyer,2024-09-15 04:15:28,Promotional,2024-07-22 04:10:08,1,1,1,23,16,17,0,Product Viewed,Smartphones,56
CUST1077,64,Female,New York,EST,Email,2024-07-16 19:11:56,0.78,Loyal Customer,2024-09-28 08:17:03,Informational,2024-08-20 00:17:59,1,0,0,15,20,22,7,Product Viewed,Smartphones,371
CUST1078,51,Male,Illinois,PST,Push,2024-07-23 21:18:33,0.55,At-Risk,,Promotional,2024-09-22 23:21:31,1,0,0,6,6,2,21,Product Viewed,Smartphones,407
CUST1079,34,Female,Texas,PST,Email,2024-07-27 19:49:47,0.85,At-Risk,2024-08-14 03:14:12,Transactional,2024-07-23 15:12:16,0,0,0,2,14,5,2,Product Viewed,Smartphones,337
CUST1080,52,Other,Illinois,CST,Push,2024-09-07 15:05:05,0.71,High-Value,2024-09-19 07:34:57,Informational,2024-08-03 20:19:47,0,0,0,6,6,18,8,Product Viewed,Smartphones,275
CUST1081,49,Male,Florida,PST,Push,2024-09-12 16:55:20,0.56,High-Value,2024-09-14 00:29:56,Transactional,2024-07-11 19:47:49,1,0,0,9,9,9,14,Product Viewed,Smartphones,64
CUST1082,46,Other,New York,CST,Push,2024-09-09 20:41:32,0.57,Frequent Buyer,2024-09-16 13:17:42,Informational,2024-07-04 03:04:25,0,0,0,1,1,2,4,Product Viewed,Smartphones,228
CUST1083,57,Female,Illinois,PST,Push,2024-08-31 06:17:40,0.18,Frequent Buyer,2024-09-23 13:28:57,Promotional,2024-07-18 19:21:25,1,0,0,0,0,19,12,Product Viewed,Smartphones,402
CUST1084,42,Female,New York,CST,Push,2024-08-20 02:22:09,0.13,At-Risk,2024-09-25 22:28:54,Transactional,2024-08-25 08:24:14,0,0,0,6,6,1,21,Product Viewed,Smartphones,146
CUST1085,58,Male,Illinois,CST,Push,2024-08-15 06:05:07,0.88,Loyal Customer,2024-07-14 20:19:49,Transactional,2024-08-18 12:04:20,1,0,0,15,15,17,9,Product Viewed,Smartphones,282
CUST1086,59,Male,Florida,MST,Push,2024-08-23 14:25:27,0.69,Frequent Buyer,2024-08-23 02:48:32,Promotional,2024-09-29 10:13:02,1,0,0,20,20,16,1,Product Viewed,Smartphones,452
CUST1087,33,Male,Florida,EST,Push,2024-07-18 09:43:41,0.29,Loyal Customer,2024-09-04 12:53:34,Informational,2024-07-26 12:51:45,1,1,0,0,0,4,23,Product Viewed,Smartphones,238
CUST1088,22,Male,Texas,MST,Email,2024-08-28 03:00:02,0.11,High-Value,,Informational,2024-09-12 22:54:55,1,1,1,7,21,13,17,Product Viewed,Smartphones,308
CUST1089,30,Other,Illinois,PST,Push,2024-07-16 17:19:47,0.68,First-Time Buyer,,Informational,2024-09-16 08:50:53,0,0,0,6,6,10,21,Product Viewed,Smartphones,164
CUST1090,20,Female,Illinois,PST,Push,2024-08-11 19:08:31,0.52,High-Value,2024-08-31 18:08:48,Transactional,2024-07-23 23:46:50,1,0,0,1,1,18,11,Product Viewed,Smartphones,273
CUST1091,65,Other,Illinois,CST,Email,2024-07-31 06:47:25,0.61,Frequent Buyer,,Transactional,2024-07-04 17:11:15,0,0,0,4,1,16,14,Product Viewed,Smartphones,259
CUST1092,52,Other,Texas,CST,Push,2024-07-07 17:16:49,0.17,Loyal Customer,,Transactional,2024-09-08 17:48:07,0,0,0,23,23,19,1,Product Viewed,Smartphones,202
CUST1093,37,Male,California,PST,Email,2024-08-14 17:55:34,0.39,High-Value,2024-08-10 05:48:48,Informational,2024-09-10 06:50:41,1,0,0,11,3,13,10,Product Viewed,Smartphones,387
CUST1094,24,Male,Florida,MST,Push,2024-07-12 02:12:11,0.69,First-Time Buyer,2024-09-20 17:26:13,Transactional,2024-07-07 19:16:17,0,0,0,8,8,6,8,Product Viewed,Smartphones,151
CUST1095,19,Male,New York,MST,Email,2024-08-09 16:28:49,0.71,Frequent Buyer,,Promotional,2024-09-25 23:58:13,1,1,1,1,7,4,9,Product Viewed,Smartphones,226
CUST1096,45,Male,California,EST,Push,2024-07-11 02:09:33,0.83,At-Risk,2024-08-10 01:14:50,Transactional,2024-08-20 18:56:44,1,1,1,6,6,7,21,Product Viewed,Smartphones,125
CUST1097,26,Other,Texas,MST,Email,2024-08-03 18:13:50,0.35,High-Value,2024-09-25 23:46:28,Informational,2024-07-21 10:33:52,0,0,0,17,5,7,12,Product Viewed,Smartphones,136
CUST1098,61,Other,Texas,CST,Email,2024-08-25 11:10:18,0.79,Frequent Buyer,2024-09-19 00:48:19,Promotional,2024-09-09 11:45:13,1,1,0,18,21,3,7,Product Viewed,Smartphones,81
CUST1099,64,Female,California,PST,Push,2024-07-10 20:06:08,0.38,Loyal Customer,2024-09-02 02:47:51,Promotional,2024-09-26 14:10:47,1,1,0,20,20,7,3,Product Viewed,Smartphones,372
CUST1100,25,Female,California,EST,Push,2024-08-03 23:15:19,0.86,Loyal Customer,,Promotional,2024-07-17 16:10:52,1,1,0,3,3,5,12,Product Viewed,Smartphones,279
CUST1101,44,Female,New York,PST,Push,2024-09-22 05:48:28,0.45,High-Value,,Promotional,2024-08-01 05:42:38,1,1,0,19,19,2,14,Product Viewed,Smartphones,115
CUST1102,47,Other,Texas,CST,Push,2024-08-06 12:25:52,0.55,Frequent Buyer,2024-09-01 02:48:48,Informational,2024-07-23 16:43:09,0,0,0,8,8,2,18,Product Viewed,Smartphones,254
CUST1103,20,Other,California,CST,Push,2024-09-23 07:05:39,0.42,First-Time Buyer,,Informational,2024-09-05 07:41:41,0,0,0,3,3,4,9,Product Viewed,Smartphones,261
CUST1104,41,Male,Illinois,EST,Email,2024-09-03 00:42:16,0.12,At-Risk,,Promotional,2024-08-13 15:26:50,0,0,0,11,1,23,5,Product Viewed,Smartphones,437
CUST1105,32,Other,Texas,PST,Push,2024-08-14 15:48:56,0.44,First-Time Buyer,2024-08-13 21:24:04,Promotional,2024-08-03 14:05:04,1,0,0,16,16,21,22,Product Viewed,Smartphones,148
CUST1106,47,Other,Texas,PST,Push,2024-07-27 16:17:18,0.33,High-Value,2024-08-22 04:04:02,Promotional,2024-08-31 16:09:27,1,1,0,8,8,19,0,Product Viewed,Smartphones,412
CUST1107,60,Male,Illinois,PST,Push,2024-09-06 18:59:32,0.54,At-Risk,2024-08-02 19:46:09,Informational,2024-09-06 08:45:31,0,0,0,23,23,20,23,Product Viewed,Smartphones,190
CUST1108,21,Other,Florida,PST,Push,2024-08-28 02:39:33,0.79,At-Risk,2024-09-02 12:48:08,Transactional,2024-07-29 11:15:24,0,0,0,9,9,23,22,Product Viewed,Smartphones,393
CUST1109,57,Female,California,MST,Email,2024-09-30 01:21:14,0.8,First-Time Buyer,,Transactional,2024-07-23 16:15:05,1,0,0,2,20,11,10,Product Viewed,Smartphones,402
CUST1110,65,Female,Florida,MST,Push,2024-07-14 22:05:19,0.32,High-Value,2024-07-08 21:16:40,Transactional,2024-08-11 15:01:19,0,0,0,16,16,11,13,Product Viewed,Smartphones,347
CUST1111,48,Male,Florida,CST,Email,2024-08-16 16:47:57,0.53,Frequent Buyer,2024-09-01 05:34:35,Transactional,2024-08-18 15:31:11,1,1,0,1,13,0,5,Product Viewed,Smartphones,262
CUST1112,32,Other,Florida,MST,Push,2024-08-19 20:43:46,0.8,First-Time Buyer,2024-09-18 14:31:31,Informational,2024-09-29 22:08:45,1,0,0,23,23,8,21,Product Viewed,Smartphones,70
CUST1113,35,Female,California,PST,Email,2024-07-04 01:14:47,0.11,At-Risk,,Informational,2024-07-15 07:32:12,0,0,0,8,4,9,11,Product Viewed,Smartphones,327
CUST1114,61,Female,Texas,CST,Push,2024-07-14 08:52:27,0.54,Frequent Buyer,,Transactional,2024-09-15 08:56:39,1,0,0,23,23,9,22,Product Viewed,Smartphones,441
CUST1115,41,Male,Florida,EST,Email,2024-07-04 20:32:35,0.53,At-Risk,2024-09-27 09:56:42,Transactional,2024-09-27 00:17:16,1,0,0,5,0,17,6,Product Viewed,Smartphones,112
CUST1116,18,Female,New York,EST,Push,2024-09-07 09:23:09,0.67,At-Risk,2024-09-28 20:16:26,Promotional,2024-07-27 09:27:12,1,0,0,5,5,1,3,Product Viewed,Smartphones,121
CUST1117,64,Female,California,EST,Push,2024-08-25 07:44:05,0.11,At-Risk,,Informational,2024-09-24 16:30:31,0,0,0,16,16,0,20,Product Viewed,Smartphones,251
CUST1118,55,Other,Texas,EST,Push,2024-09-30 09:28:30,0.23,Frequent Buyer,2024-09-05 14:48:19,Transactional,2024-08-03 17:05:16,1,0,0,11,11,20,8,Product Viewed,Smartphones,369
CUST1119,46,Male,Florida,MST,Push,2024-09-02 00:41:21,0.59,First-Time Buyer,2024-09-09 03:21:25,Transactional,2024-07-05 01:23:57,1,1,1,7,7,11,17,Product Viewed,Smartphones,231
CUST1120,45,Male,New York,CST,Email,2024-08-23 09:25:38,0.11,High-Value,2024-08-14 02:23:20,Informational,2024-09-27 07:28:27,1,0,0,9,17,3,15,Product Viewed,Smartphones,404
CUST1121,40,Male,California,CST,Push,2024-07-14 18:08:22,0.4,First-Time Buyer,2024-07-03 11:17:23,Promotional,2024-09-03 19:13:13,0,0,0,7,7,8,19,Product Viewed,Smartphones,475
CUST1122,43,Male,Florida,EST,Push,2024-09-17 14:58:55,0.5,First-Time Buyer,2024-08-01 12:46:01,Informational,2024-09-12 01:16:01,1,1,1,3,3,10,10,Product Viewed,Smartphones,127
CUST1123,36,Male,Florida,MST,Email,2024-07-12 10:11:34,0.55,Frequent Buyer,,Transactional,2024-08-15 20:56:58,0,0,0,2,21,15,18,Product Viewed,Smartphones,118
CUST1124,63,Male,New York,EST,Push,2024-08-14 16:28:30,0.24,First-Time Buyer,,Informational,2024-09-08 18:37:48,0,0,0,15,15,5,7,Product Viewed,Smartphones,74
CUST1125,24,Female,California,CST,Push,2024-07-16 23:37:33,0.35,Loyal Customer,2024-07-04 14:10:34,Transactional,2024-07-28 06:51:26,0,0,0,21,21,7,1,Product Viewed,Smartphones,110
CUST1126,64,Male,Florida,CST,Email,2024-08-16 08:24:37,0.61,At-Risk,2024-09-27 16:44:28,Promotional,2024-08-16 22:25:33,0,0,0,0,16,1,13,Product Viewed,Smartphones,226
CUST1127,48,Male,Florida,PST,Push,2024-08-22 02:36:54,0.4,High-Value,2024-08-29 00:31:26,Promotional,2024-08-25 01:16:20,0,0,0,17,17,4,16,Product Viewed,Smartphones,326
CUST1128,56,Female,Illinois,EST,Push,2024-08-13 07:29:40,0.63,High-Value,2024-09-09 03:47:51,Transactional,2024-07-09 12:22:17,0,0,0,2,2,5,22,Product Viewed,Smartphones,435
CUST1129,46,Male,Florida,EST,Push,2024-08-22 09:56:00,0.29,High-Value,,Promotional,2024-07-07 09:46:52,0,0,0,13,13,1,11,Product Viewed,Smartphones,488
CUST1130,30,Other,Illinois,MST,Push,2024-09-24 04:25:18,0.63,First-Time Buyer,2024-08-17 10:56:20,Informational,2024-09-05 13:23:00,0,0,0,4,4,13,3,Product Viewed,Smartphones,372
CUST1131,48,Male,California,PST,Push,2024-09-18 11:44:37,0.48,High-Value,,Transactional,2024-08-09 08:29:14,1,1,1,6,6,0,20,Product Viewed,Smartphones,297
CUST1132,38,Female,New York,EST,Email,2024-09-21 00:17:54,0.25,Frequent Buyer,2024-09-03 13:07:20,Transactional,2024-07-15 11:59:06,1,1,1,2,20,14,20,Product Viewed,Smartphones,294
CUST1133,53,Male,Texas,MST,Email,2024-07-31 02:06:50,0.75,At-Risk,,Informational,2024-08-15 00:07:53,0,0,0,20,17,15,8,Product Viewed,Smartphones,474
CUST1134,28,Male,Florida,MST,Push,2024-07-09 21:30:58,0.44,First-Time Buyer,,Informational,2024-08-22 16:10:27,0,0,0,1,1,16,13,Product Viewed,Smartphones,350
CUST1135,43,Other,New York,EST,Email,2024-09-21 01:05:05,0.53,Frequent Buyer,2024-07-24 16:12:23,Transactional,2024-07-07 16:12:14,1,0,0,21,10,15,8,Product Viewed,Smartphones,474
